bitterDB Receptor ID	Short Name	Organism	Protein Name	Additional Names	Number Of Ligands	Mutation data
2135	mTAS2R135	Mouse	Taste receptor type 2 member 135	Taste receptor type 2 member 135 (T2R135) (Taste receptor type 2 member 35) (T2R35) (mT2r38)	12	-
2136	mTAS2R136	Mouse	Taste receptor type 2 member 136	Taste receptor type 2 member 136 (T2R136) (Taste receptor type 2 member 36) (T2R36) (mT2r52)	0	-
2137	mTAS2R137	Mouse	Taste receptor type 2 member 3	Taste receptor type 2 member 3 (T2R3) (T2R137) (T2R37) (mT2r41)	4	-
2138	mTAS2R138	Mouse	Taste receptor type 2 member 38	Taste receptor type 2 member 38 (T2R38) (T2R138) (mT2R31)	2	-
2139	mTAS2R139	Mouse	Taste receptor type 2 member 39	Taste receptor type 2 member 39 (T2R39) (mT2R34)	1	-
2140	mTAS2R140	Mouse	Taste receptor type 2 member 140	Taste receptor type 2 member 140 (T2R140) (T2R13) (T2R8) (Taste receptor family B member 3) (mTRB3) (mTRB5) (Taste receptor type 2 member 40) (T2R40) (mT2r64)	9	-
2143	mTAS2R143	Mouse	Taste receptor type 2 member 143	Taste receptor type 2 member 122 (T2R122)	0	-
2144	mTAS2R144	Mouse	Taste receptor type 2 member 40	Taste receptor type 2 member 40 (T2R40) (mT2R33)	9	-
3001	fTAS2R1	Cat	Taste receptor type 2 member 1		0	-
3002	fTAS2R2	Cat	Taste receptor type 2 member 2	Taste receptor type 2 member 7-like	9	-
3003	fTAS2R3	Cat	Taste receptor type 2 member 3		0	-
3004	fTAS2R4	Cat	Taste receptor type 2 member 4		4	-
3007	fTAS2R7	Cat	Taste receptor type 2 member 7		3	-
3009	fTAS2R9	Cat	Taste receptor type 2 member 9?		0	-
3012	fTAS2R12	Cat	Taste receptor type 2 member 12	Taste receptor type 2 member 8-like	1	-
3038	fTAS2R38	Cat	Taste receptor type 2 member 38?		2	-
3042	fTAS2R42	Cat	Taste receptor type 2 member 42	Taste receptor type 2 member 42-like	0	-
3043	fTAS2R43	Cat	Taste receptor type 2 member 43	Taste receptor type 2 member 19-like	2	-
3046	fTAS2R46	Cat	Taste receptor type 2 member 46	Taste receptor type 2 member 46-like	6	-
3067	fTAS2R67	Cat	Taste receptor type 2 member 67	Taste receptor type 2 member 67 Taste receptor type 2 member 18 Taste receptor type 2 member 42-like	2	-
